filename,branch_pts,segment_area,segment_eu_length,num_leaf_segments,num_stem_segments,num_branch_points,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass,convex_hull_vertices,object_in_frame,ellipse_center,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi_x,roi_y,roi_w,roi_h,roi_type
18.png,"[[325, 397], [314, 394], [227, 329], [405, 326], [353, 306], [352, 291], [150, 291], [115, 257], [373, 235], [377, 201], [51, 163], [367, 131], [368, 126], [365, 121]]","[96, 290, 10445, 4189, 2239, 7275, 4959, 14157, 966, 1304, 22201, 8984, 2801, 3667, 9794, 2152, 4272]","[11.313708498984761, 8.246211251235321, 142.63590010933433, 28.231188426986208, 27.730849247724095, 146.23952953972466, 33.24154027718932, 73.0, 31.827660925679098, 34.785054261852174, 242.98559628093184, 26.40075756488817, 57.48912940721924, 83.6301381082203, 108.16653826391968, 66.40030120413611, 89.88882021697692]",17,16,14,False,100608.0,194215.0,0.5180238395592514,6380.7762323617935,624,435,629.5085384647297,"[338.4228987754453, 239.78752186704835]",26,False,"[319.8931579589844, 242.2049560546875]",547.0498046875,356.5625915527344,106.27813720703125,0.7583979262267777,100,320,240,150,partial
47.png,"[[222, 354], [225, 300], [189, 264], [208, 257], [163, 253], [306, 174], [209, 172], [198, 167], [234, 162], [299, 157], [125, 144], [120, 143], [286, 141], [193, 111]]","[1436, 464, 334, 87, 2431, 656, 536, 2541, 1201, 544, 5578, 758, 1120, 1350, 1997, 2078, 1174, 3373, 3031]","[27.51363298439521, 39.45883931389772, 15.556349186104045, 23.769728648009426, 2.0, 34.20526275297414, 15.652475842498529, 113.14592347937243, 31.32091952673165, 4.0, 30.805843601498726, 34.23448553724738, 25.553864678361276, 66.48308055437865, 30.4138126514911, 26.30589287593181, 32.89376840679705, 77.10382610480494, 65.30696746902278]",19,14,14,True,30806.0,86309.5,0.3569247881171829,4431.729520320892,343,375,319.7577207824699,"[222.8021813932351, 182.62439135233396]",17,True,"[243.85789489746094, 210.17654418945312]",311.82501220703125,271.864013671875,138.50372314453125,0.48977654343175575,100,320,240,150,partial
